id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
1sKt4HswC1nmkjuhhG0KFt,Enfance 80,Videoclub,222654,False,53,0.661,0.564,11,-8.543,1,0.0238,0.077,0.000312,0.112,0.327,100.026,4,"french indie pop,french synthpop"
2SuO3JqNqZrh9vmCwB5zP9,Euphories,Videoclub,209506,False,49,0.665,0.757,0,-7.81,0,0.0276,0.379,0.108,0.148,0.203,109.961,4,"french indie pop,french synthpop"
0HDO6JFfplYPrSWuufUosZ,Amour plastique,Videoclub,227026,False,65,0.696,0.354,6,-14.043,0,0.0353,0.767,0.00158,0.128,0.242,119.938,4,"french indie pop,french synthpop"
5XbjOF5ZS68w1PhLiF7Iku,SMS,Videoclub,232386,False,52,0.672,0.679,11,-9.679,0,0.0398,0.0209,0.0144,0.142,0.22,109.967,4,"french indie pop,french synthpop"
7odLILAvE27EORYkRWfw5U,Caution - Wasatch Style,The Killers,197853,False,52,0.661,0.612,6,-4.353,1,0.032,0.197,0.0,0.0726,0.723,88.489,4,"dance rock,modern rock,permanent wave,rock"
0SieiDcGvj8cZ0K4hcT3Zd,Dying Breed,The Killers,246000,False,62,0.656,0.78,1,-4.743,1,0.0854,0.00112,0.02,0.151,0.607,151.401,4,"dance rock,modern rock,permanent wave,rock"
150z2vDAwttNyNxEJFve50,Life To Come,The Killers,271933,False,0,0.47,0.869,0,-3.667,1,0.0633,0.0182,0.0149,0.0688,0.359,107.953,4,"dance rock,modern rock,permanent wave,rock"
6Xyn0CrKfHeAo5eI8I1cDj,Run For Cover,The Killers,223066,False,0,0.461,0.957,5,-3.306,1,0.139,0.00156,0.00385,0.313,0.461,165.092,4,"dance rock,modern rock,permanent wave,rock"
06OYfrtoQwYk2Ju70MiBgS,Miss Atomic Bomb,The Killers,294760,False,0,0.558,0.726,10,-7.107,1,0.0314,0.0229,1.23e-05,0.227,0.385,133.0,4,"dance rock,modern rock,permanent wave,rock"
5sCs4grBDnpqaHnzvZHiCF,Shot At The Night,The Killers,242506,False,0,0.512,0.801,5,-4.845,1,0.0549,0.101,0.0166,0.107,0.255,185.99,4,"dance rock,modern rock,permanent wave,rock"
