"","id","name","artist","duration_ms","explicit","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","genres","cluster"
"1500","30AZ5XlOHpJG2LarwG9JEB","Marfa","Mother Falcon",268800,"False",35,0.284,0.313,2,-11.233,1,0.0314,0.045,0.685,0.0994,0.214,74.937,4,"austindie,chamber pop,shimmer psych,stomp and whittle",6
"1501","0y5u8YRqydwjCTU7fp1z65","Marigold","Mother Falcon",151866,"False",39,0.267,0.651,2,-5.575,1,0.0356,0.0234,0.0487,0.111,0.601,166.796,4,"austindie,chamber pop,shimmer psych,stomp and whittle",12
"1502","3kb72STxc2959ZqsTwu52i","Ain't No Rest for the Wicked","Cage The Elephant",175493,"False",1,0.634,0.849,0,-7.075,1,0.105,0.0438,0,0.363,0.919,156.004,4,"indie rock,modern alternative rock,modern rock,punk blues,rock",10
"1503","27wbXcZKmqNV85Iz0SIJpI","Highway Tune","Greta Van Fleet",180640,"False",0,0.581,0.957,4,-2.989,1,0.0549,0.0114,0.157,0.271,0.517,123.972,4,"modern blues rock,modern hard rock,rock",4
"1504","2Ud3deeqLAG988pfW0Kwcl","All My Friends","LCD Soundsystem",462266,"False",59,0.701,0.788,2,-5.611,1,0.0425,0.148,0.625,0.0977,0.795,142.584,4,"alternative dance,alternative rock,dance-punk,electronic rock,electronica,indie pop,indie rock,indietronica,modern rock,new rave,rock",5
"1505","0t7WbPkjHnA2ddYyBcNTJ8","Restaurant","Blended Babies",233195,"False",13,0.709,0.746,11,-4.678,0,0.0294,0.265,0.776,0.122,0.83,139.97,4,"",5
"1506","0A7F2NCOI7g0uDaDiB8K1X","Eagle Moon","Blended Babies",225959,"False",30,0.669,0.715,7,-7.122,0,0.0334,0.795,0.884,0.0967,0.812,67.995,4,"",13
"1507","3tqSIDUvY7uli7eBsN4F8W","Impressive","Blended Babies",216000,"False",11,0.697,0.497,5,-7.324,0,0.0571,0.513,0.952,0.11,0.833,80.027,4,"",5
"1508","6J56Td7qsOpP0YighOsWL6","Misanthropic Drunken Loner","Days N Daze",212035,"True",51,0.484,0.415,5,-11.546,1,0.043,0.349,2.2e-06,0.295,0.858,92.204,4,"acoustic punk,anti-folk,folk punk,texas punk",3
"1509","7u63zva845rv8tRFi9FG8a","I Love You Like An Alcoholic","The Taxpayers",215933,"False",56,0.61,0.424,4,-6.489,0,0.0311,0.384,0.000148,0.11,0.207,108.416,4,"anti-folk,folk punk,portland punk",11
"1510","5Q964CEfbwUO0xXGrIzQoI","Replica","Sonata Arctica",294986,"False",0,0.212,0.81,1,-4.506,0,0.0363,0.000567,0,0.233,0.202,81.903,4,"finnish power metal,melodic metal,metal,neo classical metal,power metal,progressive metal,symphonic metal",4
"1511","29JimYsztQ1svKkDkxHZDy","FullMoon","Sonata Arctica",308026,"False",39,0.22,0.93,8,-4.016,0,0.065,0.000291,8.13e-05,0.112,0.243,162.946,4,"finnish power metal,melodic metal,metal,neo classical metal,power metal,progressive metal,symphonic metal",2
"1512","26U973eTUBmmzRaynvLhEA","San Sebastian","Sonata Arctica",284746,"False",0,0.142,0.961,1,-3.874,1,0.0577,1.86e-06,0.000129,0.393,0.541,169.633,4,"finnish power metal,melodic metal,metal,neo classical metal,power metal,progressive metal,symphonic metal",2
"1513","1hqVh8yKX1BxFxX9732UUJ","Coral Fang","The Distillers",129600,"False",40,0.308,0.972,9,-3.372,1,0.0556,0.000901,0,0.386,0.445,189.911,4,"punk,skate punk",2
"1514","4ld2TeVRlaYNHWzi52dWsZ","Cologne","Haux",251000,"False",42,0.27,0.463,4,-13.774,1,0.288,0.911,0.013,0.0835,0.0557,76.221,3,"indie anthem-folk,indie cafe pop,indie folk,vapor soul",14
"1515","6mHw0o12JUfDodSxMwp8TI","Caves","Haux",233240,"False",36,0.554,0.318,3,-13.288,0,0.0392,0.289,0.397,0.123,0.0565,130.11,4,"indie anthem-folk,indie cafe pop,indie folk,vapor soul",7
"1516","5jkuq8q8itgaOxZtg8fsT7","Lucky","Lucie,Too",98146,"False",42,0.461,0.89,11,-4.822,0,0.0336,0.0346,4.86e-06,0.14,0.879,92.483,1,"j-indie,japanese alternative rock,japanese indie rock",10
"1517","0Mz07VC8F7BD8lQoyDW0Ng","Before I Fall To Pieces","Razorlight",202133,"False",53,0.501,0.831,2,-4.699,1,0.0597,0.00526,1.01e-06,0.112,0.576,114.365,4,"britpop,modern rock,pop rock,rock",4
"1518","7azl1bdhtYGiPnJxx0RDHT","Bus Stop","Graham Coxon",297346,"False",35,0.531,0.851,2,-5.461,1,0.0308,0.0101,0.926,0.32,0.609,147.981,4,"britpop",5
"1519","716ee4WXvayYh2RnB2fN1F","Fly Me To The Moon - Remastered 2008","Frank Sinatra",147520,"False",0,0.64,0.296,4,-12.266,0,0.0585,0.505,4.66e-06,0.083,0.387,119.647,4,"adult standards,easy listening,lounge",11
"1520","5AL5EpvL0lBEbSdS5qOWrl","Contratiempo","Pilar Cabrera",201814,"False",0,0.52,0.426,6,-9.758,1,0.0347,0.743,1.8e-05,0.108,0.642,102.974,4,"colombian indie",1
"1521","7vHhsVSJmMpciAvO2KtHIF","Door","Mabe Fratti",243192,"False",0,0.554,0.341,7,-12.055,1,0.0302,0.746,0.836,0.219,0.135,120.002,4,"ambient pop,guatemalan indie,mexican experimental",13
"1522","3APayTEWiUl9Ssep4BOXR2","Torn","Natalie Imbruglia",244813,"False",69,0.559,0.928,5,-3.04,1,0.0355,0.0746,5.56e-05,0.696,0.599,96.315,4,"dance pop,europop,lilith,new wave pop,pop rock",10
"1523","1YBUooF6eyZqWHM1rm8Kkw","Búsirató","Dalriada",331921,"False",16,0.43,0.96,2,-3.828,1,0.079,0.0155,0,0.237,0.5,178.009,3,"celtic rock,folk metal,gothic symphonic metal,hungarian metal,slavic metal,viking metal",2
"1524","1aIsI0Zjik4fCjAj5VQCNa","Napisten Hava","Dalriada",404480,"False",33,0.501,0.959,2,-5.045,1,0.097,0.000419,0.00312,0.253,0.348,94.972,4,"celtic rock,folk metal,gothic symphonic metal,hungarian metal,slavic metal,viking metal",4
"1525","6xV0LmZU4DaF1oOquWmway","Hajdútánc","Dalriada",298817,"False",0,0.54,0.962,0,-3.362,1,0.0676,0.000594,0.000167,0.303,0.771,150.029,4,"celtic rock,folk metal,gothic symphonic metal,hungarian metal,slavic metal,viking metal",12
"1526","6GHgtZeOurEcy4Lq5x0xwk","Julianus Útja","Dalriada",339386,"False",14,0.497,0.931,0,-4.84,1,0.123,0.00114,0.000372,0.105,0.468,150.074,4,"celtic rock,folk metal,gothic symphonic metal,hungarian metal,slavic metal,viking metal",2
"1527","1bxsYulIYXmVSgrX8nOQZ2","Funny Little Frog","Belle & Sebastian",188466,"False",10,0.563,0.827,2,-3.532,1,0.0292,0.102,0,0.074,0.861,132.269,4,"alternative rock,anti-folk,baroque pop,chamber pop,indie pop,indie rock,melancholia,scottish indie,scottish rock,twee pop",10
"1528","43z6scIZU2QcEieMQFAJRG","There She Goes","Sixpence None The Richer",164280,"False",62,0.498,0.789,10,-5.724,1,0.0319,0.000856,5.83e-06,0.104,0.455,120.176,4,"neo mellow,pop rock",4
"1529","754kgU5rWscRTfvlsuEwFp","Kiss Me","Sixpence None The Richer",208680,"False",75,0.526,0.749,3,-6.964,1,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,4,"neo mellow,pop rock",4
"1530","51T1wGHtx6hXW89UCzw1Rc","Pretty Fly (For A White Guy)","The Offspring",188666,"False",0,0.722,0.895,11,-3.684,0,0.118,0.101,1.27e-06,0.0695,0.963,143.383,4,"alternative metal,permanent wave,punk,rock,skate punk,socal pop punk",10
"1531","2G8IHtLBcgu2GXTwq0iB4Y","You're Gonna Go Far, Kid","The Offspring",177826,"True",0,0.55,0.913,9,-3.104,0,0.0661,0.00564,0,0.2,0.581,126.106,4,"alternative metal,permanent wave,punk,rock,skate punk,socal pop punk",10
"1532","01a0J96fRD91VnjQQUCqMK","The Kids Aren't Alright","The Offspring",180160,"False",0,0.527,0.941,1,-4.213,1,0.0377,0.00594,2.89e-05,0.0641,0.793,99.636,4,"alternative metal,permanent wave,punk,rock,skate punk,socal pop punk",10
"1533","0cYDF5WnM4uXBNfjaIBg25","Salvador","Jamie T",212653,"False",0,0.778,0.818,6,-4.217,0,0.147,0.493,0,0.878,0.858,144.999,4,"indie rock,modern alternative rock,modern rock,new rave,rock",3
"1534","3DwLyLN85NzOixZnI60f8O","Weekend","Last Dinosaurs",256320,"False",37,0.404,0.716,3,-5.932,1,0.039,0.00228,0.128,0.173,0.235,155.073,4,"australian indie",2
"1535","6o5CnQ64kggC3sEnIUpEl5","Manana Tepotzlan","El Búho",240000,"False",0,0.61,0.549,10,-8.98,1,0.275,0.262,1.86e-06,0.141,0.38,79.999,4,"ethnotronica,latintronica,shamanic",11
"1536","0xOeB16JDbBJBJKSdHbElT","Rebellion (Lies)","Arcade Fire",310893,"False",63,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,4,"alternative dance,alternative rock,baroque pop,canadian indie,dance-punk,indie pop,indie rock,modern rock,new rave,permanent wave,quebec indie,rock",5
"1537","07Ugv4TA7PvQfoqetnmLrS","Everything Now","Arcade Fire",303013,"False",50,0.548,0.865,0,-5.325,1,0.0302,0.00171,0.000449,0.457,0.61,116.046,4,"alternative dance,alternative rock,baroque pop,canadian indie,dance-punk,indie pop,indie rock,modern rock,new rave,permanent wave,quebec indie,rock",10
"1538","6D43oUO6nImERk2psfXdNY","Afterlife","Arcade Fire",352754,"False",10,0.638,0.873,11,-5.545,1,0.0363,0.0943,0.0395,0.226,0.682,115.95,4,"alternative dance,alternative rock,baroque pop,canadian indie,dance-punk,indie pop,indie rock,modern rock,new rave,permanent wave,quebec indie,rock",10
