"","id","genres","danceability","energy","speechiness","acousticness","instrumentalness","valence","tempo"
"37","5mhUPDWQH3s544WCsa0r9w","modern rock,permanent wave,rock",0.547,0.837,0.0676,0.00112,0.000624,0.568,0.54669747147287
"38","6zbnpAx9RH1W0dS4JEqdpc","modern rock,permanent wave,rock",0.526,0.924,0.0536,0.00237,0.0012,0.802,0.648206253293949
"39","5ZQ7VIzPivvIB1z4Eu8WFH","modern rock,permanent wave,rock",0.561,0.399,0.0278,0.387,7.04e-06,0.347,0.22916079373445
"40","6UgYYp4LmZ5oqigdrlaxkn","modern rock,permanent wave,rock",0.426,0.981,0.0736,0.0034,0.0633,0.211,0.559094976038437
"41","3iyjOwyySLRDEW2tqP7MhX","modern rock,permanent wave,rock",0.543,0.917,0.0444,0.00572,7.76e-05,0.329,0.526939906114795
"42","3gNGi2iUGHXGpBQHce6Nua","modern rock,permanent wave,rock",0.467,0.988,0.112,0.000152,0.0484,0.321,0.515841596293618
"43","3haN0f2YjW4waIiN38X33J","modern rock,permanent wave,rock",0.554,0.73,0.0418,0.00158,1.85e-05,0.204,0.441107257105737
"44","1lDWb6b6ieDQ2xT7ewTC3G","modern rock,permanent wave,rock",0.51,0.981,0.0901,7.76e-05,0.00142,0.723,0.562441015332949
"45","0eGsygTp906u18L0Oimnem","modern rock,permanent wave,rock",0.351,0.928,0.0759,0.00113,0,0.239,0.623668631800856
"46","7HGTkn2aX7MNdKs7nV2xBt","modern rock,permanent wave,rock",0.509,0.987,0.0886,8.05e-05,0.000928,0.647,0.562441015332949
"47","1CA6nEpwJvpraGPVXV6kg0","metropopolis,nottingham indie",0.556,0.712,0.0604,0.376,0.185,0.467,0.317119954895881
"48","4hevTIy9B4g2ebKwYMrq6T","metropopolis,nottingham indie",0.508,0.827,0.0357,0.085,0.0134,0.14,0.43969162509652
"49","1TZO2mDQN2RzcsSIAITAas","metropopolis,nottingham indie",0.56,0.643,0.032,0.402,0.0262,0.123,0.409197318265943
"50","3ActvlxYR8Jrqe7rxDHm7q","metropopolis,nottingham indie",0.413,0.519,0.0293,0.702,6.62e-06,0.265,0.206443270538921
"51","6xIepwk6xBuP3itGqQE8AT","metropopolis,nottingham indie",0.404,0.148,0.0338,0.952,0.067,0.0384,0.131819240338771
"52","6PmAEETtVYKlFy26KKpXXZ","metropopolis,nottingham indie",0.53,0.286,0.0387,0.854,0.000887,0.11,0.49307504688132
"53","72wmXZCWjyJuAFcKCf4xur","metropopolis,nottingham indie",0.296,0.613,0.0364,0.692,0.013,0.102,0.612080059811985
"54","2nAAFnHiXRdWhsqoeqhhnr","metropopolis,nottingham indie",0.251,0.254,0.0369,0.913,1.81e-06,0.17,0.79876576499283
"55","0vhmDFxgZQGq2EG3SvDMKG","metropopolis,nottingham indie",0.639,0.256,0.0351,0.411,0.0766,0.0395,0.452113642770472
"56","7LA5YZPyUAxk8ZrmPas1yV","metropopolis,nottingham indie",0.581,0.402,0.0329,0.728,2.48e-05,0.261,0.182193678069348
"57","1UpFb9izAOYlcxWTOQzGf6","indie pop,irish pop",0.883,0.431,0.0434,0.591,0.00039,0.768,0.500606699432521
"58","33Erxwd8RV55M6ZX6KigNt","indie pop,irish pop",0.658,0.169,0.0496,0.911,2.45e-06,0.353,0.291797913934476
"59","0bPB8TqrB1xBYzGEcpC7Q8","indie pop,irish pop",0.751,0.429,0.0609,0.0627,5.54e-05,0.393,0.298839304317984
"60","5VpgaWuqcWho0uJMniRNDs","indie pop,irish pop",0.645,0.19,0.0382,0.785,0.000435,0.112,0.574342129453725
"61","3pIEqgK9hHXpj35bd9cH2J","indie pop,irish pop",0.818,0.435,0.16,0.348,0,0.604,0.561705622081408
"62","55uHY7UWhCfEnsnL5Wx39Z","indie pop,irish pop",0.755,0.852,0.0388,0.023,0.00176,0.919,0.476216156589736
"63","4c0WkzJbzDU750TXWarrk1","indie pop,irish pop",0.63,0.423,0.0318,0.507,2.24e-06,0.319,0.268161149174521
"64","3DueRoQYcxVoOBnFCXfxOM","indie pop,irish pop",0.786,0.593,0.0538,0.0841,0,0.544,0.390567355893564
"65","1scqbAkj5hVAKbipvkmuVh","russian pop punk,russian punk,russian punk rock,russian rock",0.504,0.827,0.206,0.00367,0,0.723,0.728842123325448
"66","2J5swcF6FrSCsji2VRjpqx","jazz metal,opera metal,steampunk,swedish metal,symphonic metal",0.603,0.945,0.104,0.00941,0.00286,0.902,0.635643285246786
"67","7HCUnUFKw3TmYowjaYfawy","jazz metal,opera metal,steampunk,swedish metal,symphonic metal",0.428,0.882,0.078,0.0134,0.00141,0.489,0.392595815612399
"68","2nYwBcAlpyI4DWy69CRgtR","jazz metal,opera metal,steampunk,swedish metal,symphonic metal",0.5,0.859,0.0517,0.00363,0.00487,0.687,0.733897951929794
"69","3RJtaxRtxOvvIj6DESm4gh","jazz metal,opera metal,steampunk,swedish metal,symphonic metal",0.662,0.767,0.0653,0.00637,0.746,0.54,0.390977950459008
"70","1fx8T2d1mpd0DKXnHPIcDK","jazz metal,opera metal,steampunk,swedish metal,symphonic metal",0.576,0.927,0.065,0.00408,0.0542,0.316,0.272530610744095
"71","2hQzCXo7p6YL73zpcNy6qv","",0.671,0.125,0.0626,0.9,0,0.504,0.213613354741448
"72","2l2J1WVVzKRToOm0R2lhZ9","latin,latin alternative,latin pop",0.573,0.236,0.0428,0.883,8.4e-05,0.269,0.570058463763498
"73","2TPZomzhdB7toV3cx0hj08","latin,latin alternative,latin pop",0.335,0.837,0.0546,0.377,0.132,0.608,0.805549767738298
"74","28t8Ow6Bc8ULVPAeiJqXAj","latin,latin alternative,latin pop",0.431,0.363,0.0664,0.675,3.99e-06,0.209,0.758055620242925
"75","6gDloBsChfvckkZ01XVrqY","latin,latin alternative,latin pop",0.313,0.746,0.138,0.469,0,0.614,1
"76","0u13src3QcditRU5VPduML","latin,latin alternative,latin pop",0.676,0.676,0.0391,0.216,0.00141,0.824,0.268283714716445
"77","2wUlHVuuqLlLBZRUTe50ni","latin,latin alternative,latin pop",0.549,0.779,0.0439,0.204,0.000484,0.643,0.592800500067411
"78","7HI2Q54BmnCniHN1wvhLjf","latin,latin alternative,latin pop",0.389,0.408,0.0273,0.662,4.78e-05,0.365,0.792410741644094
"79","3iBOe7U7kRPNIoL3QLCVu2","belgian pop,variete francaise",0.702,0.593,0.0532,0.526,1.09e-05,0.522,0.60533895500619
"80","2jX5c5RFp0A9E1GDsvGxIa","belgian pop,variete francaise",0.703,0.442,0.0823,0.594,2.39e-05,0.381,0.42696319356776
"81","1UQKfmCH2wxVXTAVMUXiEj","belgian pop,variete francaise",0.354,0.734,0.471,0.142,4.41e-05,0.259,0.88786478569415
"82","4hdyFykOmKceaOJ15dTmVP","electro dub,french reggae",0.814,0.553,0.164,0.062,0,0.622,0.5747036978024
"83","5PNmLOkhsm69IfOdHknhmR","neo-psychedelic,psychedelic pop",0.362,0.519,0.0359,0.606,0.000582,0.318,0.437418034293839
"84","60FAXgsRDr9OAy4XFAUCKR","",0.846,0.317,0.0575,0.726,0.019,0.517,0.390696049712584
"85","65h4yduK6bShDuahteRxgR","french indie pop,french pop,nouvelle chanson francaise",0.456,0.658,0.0336,0.407,5.78e-06,0.289,0.306891860422361
"86","7as88HhLbDLgobaSbJrVBs","french indie pop,french pop,nouvelle chanson francaise",0.432,0.419,0.0346,0.869,7.94e-05,0.658,0.535930088614887
"87","3NakEPSaVKsqqimJW66xCc","french indie pop,french pop,nouvelle chanson francaise",0.635,0.412,0.0356,0.902,0.0436,0.238,0.439569059554597
"88","4SKr92Xfu1wUKoU9pC9FcP","french indie pop,french pop,nouvelle chanson francaise",0.636,0.466,0.0307,0.771,0.263,0.215,0.390524457953891
"89","7FMDhuPk4KiG2Y1DV7y56c","french indie pop,french pop,nouvelle chanson francaise",0.633,0.365,0.0317,0.867,0.0995,0.113,0.394673301548003
"90","6etCtKYL3fqUFHETBufdZo","latin alternative,reggae en espanol,venezuelan hip hop,venezuelan rock",0.741,0.615,0.16,0.466,0.00224,0.669,0.237525891970731
"91","7lPN2DXiMsVn7XUKtOW1CS","pop,post-teen pop",0.585,0.436,0.0601,0.721,1.31e-05,0.132,0.598199512189143
"92","1tF1J2fK1F9iQ8UUD1Iai5","indie rock,liverpool indie,modern alternative rock,modern rock,rock",0.41,0.858,0.0485,0.00347,0,0.962,0.706136856684112
"93","0VD69ricQ3Flm3apWr4FQS","indie rock,liverpool indie,modern alternative rock,modern rock,rock",0.511,0.934,0.139,0.00131,0,0.541,0.586408707056098
"94","4GxWee692irccH1QOmRRLl","indie rock,liverpool indie,modern alternative rock,modern rock,rock",0.531,0.847,0.0529,0.00743,0,0.38,0.360152716665237
"95","1tTV7mRV9uB2Nr9VcwkuFX","indie rock,liverpool indie,modern alternative rock,modern rock,rock",0.515,0.869,0.0672,0.00257,2.01e-06,0.452,0.287900329701308
"96","7v9Ne4758aGFfFc5avh89h","indie rock,liverpool indie,modern alternative rock,modern rock,rock",0.397,0.839,0.102,0.00125,0,0.764,0.43318339482038
"97","48n0Or9AmRA0uEeyX8Ycuc","french indie pop,french indietronica,french psychedelic",0.523,0.846,0.0442,0.000176,0.0246,0.335,0.635146894801995
"98","4oHDZV4ySUYyiUx5fl6ZTG","french indie pop,french indietronica,french psychedelic",0.396,0.921,0.085,0.0342,0.818,0.449,0.709764796725049
"99","56Cf0t6EUIu7bYNIvVvEpE","french indie pop,french indietronica,french psychedelic",0.558,0.911,0.0389,0.0073,0.921,0.888,0.574507592935322
"100","6b2oQwSGFkzsMtQruIWm2p","alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.515,0.43,0.0369,0.0102,0.000141,0.104,0.279326870043756
"101","2nTsKOXIVGDf2iPeVQO2Gm","alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.252,0.849,0.0581,0.0377,0.00592,0.194,0.719723247006337
"102","0QwQbO7G7hDe9uzU1iMzTf","alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.293,0.276,0.0351,0.229,0.119,0.196,0.461716652980181
"103","6tw1H1WMqRPr0eE7OSAxPx","spanish modern rock",0.578,0.722,0.0616,0.49,0.067,0.0639,0.286251823162436
"104","740zSgBv6PHOGAw04Ta2J2","electronica,swedish electropop,swedish singer-songwriter,trip hop",0.704,0.668,0.129,0.538,0.137,0.784,0.39762713110836
"105","5Cfz0DCrcFpISyvDHBWy9f","electronica",0.447,0.204,0.0266,0.988,0.799,0.331,0.231085072742649
"106","0njOsb3y8TnwIJC7GnlWwD","cantautor,folclore tucumano,folklore argentino,nueva cancion,rock en espanol,rock nacional,trova",0.513,0.168,0.0351,0.785,0,0.666,0.42521663459535
"107","1XcanVxFB7W7jhi8QwrOvD","cantautor,folclore tucumano,folklore argentino,nueva cancion,rock en espanol,rock nacional,trova",0.599,0.119,0.0506,0.98,0,0.348,0.385401218301487
"108","0wXuerDYiBnERgIpbb3JBR","atl hip hop,hip hop,pop rap,rap",0.743,0.347,0.121,0.167,0.00951,0.572,0.69790045226685
"109","7bVFBtEO81LmuOWDm62tdK","atl hip hop,hip hop,pop rap,rap",0.68,0.468,0.0947,0.0311,0,0.348,0.237366556766231
